,Date_colect,station,Tmax.mean,Tmax.std,Tmax.50%,Tmax.mean-median,Tmax.outliers_low,Tmax.outliers_high,Tmin.mean,Tmin.std,Tmin.50%,Tmin.mean-median,Tmin.outliers_low,Tmin.outliers_high,Tavg.mean,Tavg.std,Tavg.50%,Tavg.mean-median,Tavg.outliers_low,Tavg.outliers_high,DewPoint.mean,DewPoint.std,DewPoint.50%,DewPoint.mean-median,DewPoint.outliers_low,DewPoint.outliers_high,WetBulb.mean,WetBulb.std,WetBulb.50%,WetBulb.mean-median,WetBulb.outliers_low,WetBulb.outliers_high,Heat.mean,Heat.std,Heat.50%,Heat.mean-median,Heat.outliers_low,Heat.outliers_high,Cool.mean,Cool.std,Cool.50%,Cool.mean-median,Cool.outliers_low,Cool.outliers_high,PrecipTotal.mean,PrecipTotal.std,PrecipTotal.50%,PrecipTotal.mean-median,PrecipTotal.outliers_low,PrecipTotal.outliers_high,StnPressure.mean,StnPressure.std,StnPressure.50%,StnPressure.mean-median,StnPressure.outliers_low,StnPressure.outliers_high,ResultSpeed.mean,ResultSpeed.std,ResultSpeed.50%,ResultSpeed.mean-median,ResultSpeed.outliers_low,ResultSpeed.outliers_high,ResultDir.mean,ResultDir.std,ResultDir.50%,ResultDir.mean-median,ResultDir.outliers_low,ResultDir.outliers_high,AvgSpeed.mean,AvgSpeed.std,AvgSpeed.50%,AvgSpeed.mean-median,AvgSpeed.outliers_low,AvgSpeed.outliers_high,weather_type_Norm.mean
0,2007-07-02,2,79.71428571428571,7.300459115473718,78.5,1.2142857142857082,0,0,64.35714285714286,5.256602337239154,63.5,0.8571428571428612,0,0,72.28571428571429,5.889084706583756,71.5,0.7857142857142918,0,0,57.785714285714285,7.505675508251395,56.0,1.7857142857142847,0,0,63.714285714285715,5.150482747031828,61.5,2.2142857142857153,0,0,0.07142857142857142,0.2672612419124244,0.0,0.07142857142857142,0,1,7.357142857142857,5.786019527967563,6.5,0.8571428571428568,0,0,0.1182142857142857,0.2642595398384027,0.0025,0.1157142857142857,0,1,29.395714285714284,0.09435728219536982,29.42,-0.024285714285717575,1,0,7.478571428571428,2.700478183133946,7.3,0.17857142857142794,0,0,12.571428571428571,9.951530888911867,10.5,2.071428571428571,0,0,8.807142857142857,2.2959711488787304,8.149999999999999,0.6571428571428584,0,1,0.35714285714285715
0,2007-07-02,2,79.71428571428571,7.300459115473718,78.5,1.2142857142857082,0,0,64.35714285714286,5.256602337239154,63.5,0.8571428571428612,0,0,72.28571428571429,5.889084706583756,71.5,0.7857142857142918,0,0,57.785714285714285,7.505675508251395,56.0,1.7857142857142847,0,0,63.714285714285715,5.150482747031828,61.5,2.2142857142857153,0,0,0.07142857142857142,0.2672612419124244,0.0,0.07142857142857142,0,1,7.357142857142857,5.786019527967563,6.5,0.8571428571428568,0,0,0.1182142857142857,0.2642595398384027,0.0025,0.1157142857142857,0,1,29.395714285714284,0.09435728219536982,29.42,-0.024285714285717575,1,0,7.478571428571428,2.700478183133946,7.3,0.17857142857142794,0,0,12.571428571428571,9.951530888911867,10.5,2.071428571428571,0,0,8.807142857142857,2.2959711488787304,8.149999999999999,0.6571428571428584,0,1,0.35714285714285715
0,2007-07-18,2,84.28571428571429,5.580578567035603,84.0,0.2857142857142918,0,0,66.64285714285714,4.601122653258623,67.5,-0.8571428571428612,0,0,75.64285714285714,4.939746845851405,76.0,-0.3571428571428612,0,0,59.42857142857143,6.235312412311101,60.0,-0.5714285714285694,0,0,65.57142857142857,4.669282364796308,66.0,-0.4285714285714306,0,0,0.0,0.0,0.0,0.0,0,0,10.642857142857142,4.939746845851405,11.0,-0.35714285714285765,0,0,0.08285714285714287,0.17984731008568053,0.0,0.08285714285714287,0,1,29.24142857142857,0.07911599496524452,29.244999999999997,-0.0035714285714263383,0,0,6.1642857142857155,3.289518819817583,5.949999999999999,0.2142857142857162,0,1,21.571428571428573,8.140254066289103,23.0,-1.428571428571427,0,0,8.842857142857143,2.6566938058462775,8.45,0.3928571428571441,0,0,0.5
0,2007-07-18,2,84.28571428571429,5.580578567035603,84.0,0.2857142857142918,0,0,66.64285714285714,4.601122653258623,67.5,-0.8571428571428612,0,0,75.64285714285714,4.939746845851405,76.0,-0.3571428571428612,0,0,59.42857142857143,6.235312412311101,60.0,-0.5714285714285694,0,0,65.57142857142857,4.669282364796308,66.0,-0.4285714285714306,0,0,0.0,0.0,0.0,0.0,0,0,10.642857142857142,4.939746845851405,11.0,-0.35714285714285765,0,0,0.08285714285714287,0.17984731008568053,0.0,0.08285714285714287,0,1,29.24142857142857,0.07911599496524452,29.244999999999997,-0.0035714285714263383,0,0,6.1642857142857155,3.289518819817583,5.949999999999999,0.2142857142857162,0,1,21.571428571428573,8.140254066289103,23.0,-1.428571428571427,0,0,8.842857142857143,2.6566938058462775,8.45,0.3928571428571441,0,0,0.5
0,2007-07-18,2,84.28571428571429,5.580578567035603,84.0,0.2857142857142918,0,0,66.64285714285714,4.601122653258623,67.5,-0.8571428571428612,0,0,75.64285714285714,4.939746845851405,76.0,-0.3571428571428612,0,0,59.42857142857143,6.235312412311101,60.0,-0.5714285714285694,0,0,65.57142857142857,4.669282364796308,66.0,-0.4285714285714306,0,0,0.0,0.0,0.0,0.0,0,0,10.642857142857142,4.939746845851405,11.0,-0.35714285714285765,0,0,0.08285714285714287,0.17984731008568053,0.0,0.08285714285714287,0,1,29.24142857142857,0.07911599496524452,29.244999999999997,-0.0035714285714263383,0,0,6.1642857142857155,3.289518819817583,5.949999999999999,0.2142857142857162,0,1,21.571428571428573,8.140254066289103,23.0,-1.428571428571427,0,0,8.842857142857143,2.6566938058462775,8.45,0.3928571428571441,0,0,0.5
0,2007-08-01,2,82.21428571428571,3.984171980929835,82.5,-0.2857142857142918,1,0,65.42857142857143,3.8373525672362616,65.0,0.4285714285714306,1,0,74.07142857142857,3.474396144861517,74.5,-0.4285714285714306,1,0,59.357142857142854,5.555415138640619,58.5,0.8571428571428541,0,0,65.14285714285714,3.7592377062202553,65.5,-0.3571428571428612,0,0,0.0,0.0,0.0,0.0,0,0,9.071428571428571,3.474396144861517,9.5,-0.4285714285714288,1,0,0.13321428571428573,0.3272002864798983,0.0,0.13321428571428573,0,2,29.357142857142854,0.12418525686239071,29.365000000000002,-0.007857142857147892,0,0,5.7,3.474965412113424,6.05,-0.34999999999999964,0,0,15.785714285714286,11.610198245366153,15.0,0.7857142857142865,0,0,7.742857142857142,3.2787695360195217,7.2,0.5428571428571418,0,1,0.6428571428571429
0,2007-08-01,2,82.21428571428571,3.984171980929835,82.5,-0.2857142857142918,1,0,65.42857142857143,3.8373525672362616,65.0,0.4285714285714306,1,0,74.07142857142857,3.474396144861517,74.5,-0.4285714285714306,1,0,59.357142857142854,5.555415138640619,58.5,0.8571428571428541,0,0,65.14285714285714,3.7592377062202553,65.5,-0.3571428571428612,0,0,0.0,0.0,0.0,0.0,0,0,9.071428571428571,3.474396144861517,9.5,-0.4285714285714288,1,0,0.13321428571428573,0.3272002864798983,0.0,0.13321428571428573,0,2,29.357142857142854,0.12418525686239071,29.365000000000002,-0.007857142857147892,0,0,5.7,3.474965412113424,6.05,-0.34999999999999964,0,0,15.785714285714286,11.610198245366153,15.0,0.7857142857142865,0,0,7.742857142857142,3.2787695360195217,7.2,0.5428571428571418,0,1,0.6428571428571429
0,2007-08-01,2,82.21428571428571,3.984171980929835,82.5,-0.2857142857142918,1,0,65.42857142857143,3.8373525672362616,65.0,0.4285714285714306,1,0,74.07142857142857,3.474396144861517,74.5,-0.4285714285714306,1,0,59.357142857142854,5.555415138640619,58.5,0.8571428571428541,0,0,65.14285714285714,3.7592377062202553,65.5,-0.3571428571428612,0,0,0.0,0.0,0.0,0.0,0,0,9.071428571428571,3.474396144861517,9.5,-0.4285714285714288,1,0,0.13321428571428573,0.3272002864798983,0.0,0.13321428571428573,0,2,29.357142857142854,0.12418525686239071,29.365000000000002,-0.007857142857147892,0,0,5.7,3.474965412113424,6.05,-0.34999999999999964,0,0,15.785714285714286,11.610198245366153,15.0,0.7857142857142865,0,0,7.742857142857142,3.2787695360195217,7.2,0.5428571428571418,0,1,0.6428571428571429
0,2007-08-15,2,86.64285714285714,3.521519402345939,87.0,-0.3571428571428612,0,0,70.64285714285714,3.0786396310744095,71.0,-0.3571428571428612,0,0,78.92857142857143,2.585887311313698,79.5,-0.5714285714285694,0,0,66.07142857142857,5.967402291608143,66.5,-0.4285714285714306,1,0,70.5,3.6108809920103346,71.0,-0.5,1,0,0.0,0.0,0.0,0.0,0,0,13.928571428571429,2.585887311313698,14.5,-0.5714285714285712,0,0,0.16642857142857143,0.28212400827288,0.035,0.13142857142857142,0,1,29.285714285714285,0.10544515787214363,29.314999999999998,-0.029285714285713027,0,0,4.257142857142857,2.0890609910138633,3.2,1.057142857142857,0,0,14.357142857142858,8.316870184770812,11.5,2.8571428571428577,0,0,6.585714285714286,1.902167647249253,6.5,0.0857142857142863,0,0,0.35714285714285715
0,2007-08-21,2,81.5,6.903176526342503,82.5,-1.0,0,0,68.35714285714286,4.3431137865173834,68.0,0.3571428571428612,0,0,75.28571428571429,5.29772914237167,76.0,-0.7142857142857082,1,0,65.07142857142857,6.6154165601068735,66.5,-1.4285714285714306,0,0,68.57142857142857,5.079586381015466,70.0,-1.4285714285714306,1,0,0.0,0.0,0.0,0.0,0,0,10.285714285714286,5.2977291423716695,11.0,-0.7142857142857135,1,0,0.31071428571428567,0.39141684028301954,0.16,0.15071428571428566,0,1,29.30857142857143,0.11434476496423121,29.310000000000002,-0.001428571428572667,0,0,4.335714285714285,1.8780542889085798,4.2,0.13571428571428523,0,0,14.214285714285714,9.704706006949342,11.5,2.7142857142857135,0,0,6.764285714285715,1.3431347620439988,6.8,-0.0357142857142847,1,0,0.21428571428571427
0,2007-09-04,2,82.57142857142857,5.501248609519139,82.5,0.0714285714285694,0,0,64.85714285714286,4.452434819756021,64.5,0.3571428571428612,0,0,74.0,4.590961018885161,74.0,0.0,0,0,61.642857142857146,6.033332321453784,62.0,-0.3571428571428541,0,0,66.35714285714286,4.378393503367379,66.5,-0.1428571428571388,0,0,0.0,0.0,0.0,0.0,0,0,9.0,4.590961018885161,9.0,0.0,0,0,0.23607142857142857,0.5504130566829178,0.0,0.23607142857142857,0,1,29.374999999999996,0.11946998335597483,29.4,-0.02500000000000213,0,0,5.171428571428571,2.242398637252451,4.949999999999999,0.22142857142857153,0,1,14.571428571428571,8.28078671210825,16.5,-1.9285714285714288,0,0,7.021428571428572,1.9208085522783094,6.85,0.1714285714285726,0,1,0.6428571428571429
0,2007-09-04,2,82.57142857142857,5.501248609519139,82.5,0.0714285714285694,0,0,64.85714285714286,4.452434819756021,64.5,0.3571428571428612,0,0,74.0,4.590961018885161,74.0,0.0,0,0,61.642857142857146,6.033332321453784,62.0,-0.3571428571428541,0,0,66.35714285714286,4.378393503367379,66.5,-0.1428571428571388,0,0,0.0,0.0,0.0,0.0,0,0,9.0,4.590961018885161,9.0,0.0,0,0,0.23607142857142857,0.5504130566829178,0.0,0.23607142857142857,0,1,29.374999999999996,0.11946998335597483,29.4,-0.02500000000000213,0,0,5.171428571428571,2.242398637252451,4.949999999999999,0.22142857142857153,0,1,14.571428571428571,8.28078671210825,16.5,-1.9285714285714288,0,0,7.021428571428572,1.9208085522783094,6.85,0.1714285714285726,0,1,0.6428571428571429
0,2007-09-18,2,76.85714285714286,8.786853316676638,78.5,-1.6428571428571388,0,0,58.07142857142857,10.8163998398037,55.0,3.0714285714285694,0,0,67.64285714285714,9.644505353644815,67.0,0.6428571428571388,0,0,51.5,10.994753993819751,53.0,-1.5,0,0,58.785714285714285,8.772146228292677,59.5,-0.7142857142857153,0,0,2.7857142857142856,4.2819580608834595,0.0,2.7857142857142856,0,1,5.428571428571429,6.489213366032135,2.0,3.428571428571429,0,0,0.07178571428571427,0.18515697231161563,0.0,0.07178571428571427,0,1,29.375,0.11195809655677164,29.34,0.03500000000000014,0,1,7.785714285714286,3.810482937867616,8.05,-0.2642857142857151,0,0,18.071428571428573,10.615404522994552,19.5,-1.428571428571427,0,0,9.564285714285715,2.938761419598175,9.55,0.014285714285714235,0,0,0.7857142857142857
0,2007-09-18,2,76.85714285714286,8.786853316676638,78.5,-1.6428571428571388,0,0,58.07142857142857,10.8163998398037,55.0,3.0714285714285694,0,0,67.64285714285714,9.644505353644815,67.0,0.6428571428571388,0,0,51.5,10.994753993819751,53.0,-1.5,0,0,58.785714285714285,8.772146228292677,59.5,-0.7142857142857153,0,0,2.7857142857142856,4.2819580608834595,0.0,2.7857142857142856,0,1,5.428571428571429,6.489213366032135,2.0,3.428571428571429,0,0,0.07178571428571427,0.18515697231161563,0.0,0.07178571428571427,0,1,29.375,0.11195809655677164,29.34,0.03500000000000014,0,1,7.785714285714286,3.810482937867616,8.05,-0.2642857142857151,0,0,18.071428571428573,10.615404522994552,19.5,-1.428571428571427,0,0,9.564285714285715,2.938761419598175,9.55,0.014285714285714235,0,0,0.7857142857142857
0,2007-10-04,2,78.42857142857143,7.408044335661125,78.0,0.4285714285714306,0,0,59.214285714285715,6.10395296166687,58.5,0.7142857142857153,0,1,69.0,6.076436202501999,68.0,1.0,0,1,53.214285714285715,7.127180599416806,50.5,2.7142857142857153,0,0,60.07142857142857,5.327205729002859,59.0,1.0714285714285694,0,0,0.5714285714285714,1.0163498575623617,0.0,0.5714285714285714,0,1,4.571428571428571,5.50124860951914,3.0,1.5714285714285712,0,1,0.04142857142857143,0.06582110286540012,0.0025,0.03892857142857143,0,1,29.387142857142855,0.10410265432429017,29.36,0.027142857142855803,0,0,7.0928571428571425,2.8418477969621985,6.6,0.4928571428571429,0,1,15.714285714285714,8.231539452510798,19.0,-3.2857142857142865,0,0,8.542857142857143,2.227007058713654,8.25,0.2928571428571427,0,1,0.5
0,2007-05-29,2,75.42857142857143,9.12068052213283,75.5,-0.0714285714285694,0,0,53.285714285714285,8.042469687932849,55.0,-1.7142857142857153,0,0,64.64285714285714,7.996221635220001,64.0,0.6428571428571388,0,0,45.214285714285715,7.875752188043535,47.0,-1.7857142857142847,0,0,54.214285714285715,6.39926163323156,57.0,-2.7857142857142847,0,0,3.4285714285714284,4.345011033256518,1.0,2.4285714285714284,0,1,3.0714285714285716,4.730657552510103,0.0,3.0714285714285716,0,1,0.0882142857142857,0.16663648994208852,0.0025,0.0857142857142857,0,1,29.44857142857143,0.10697642751539248,29.43,0.01857142857143046,1,0,7.992857142857143,3.369652866329177,8.149999999999999,-0.1571428571428557,0,0,16.142857142857142,9.867250749962592,17.0,-0.8571428571428577,0,1,9.757142857142854,2.7122838193086496,10.149999999999999,-0.3928571428571441,0,1,0.5
0,2007-06-05,2,80.28571428571429,7.770046742049005,80.5,-0.2142857142857082,0,0,62.142857142857146,6.125070082577302,64.5,-2.357142857142854,1,0,71.5,6.630349799334757,74.0,-2.5,0,0,54.5,6.333670706263834,56.0,-1.5,0,0,61.57142857142857,4.61959514899946,62.0,-0.4285714285714306,0,0,0.6428571428571429,1.4990839693802165,0.0,0.6428571428571429,0,1,7.142857142857143,5.641292035001896,9.0,-1.8571428571428568,0,0,0.13071428571428573,0.17034870506898878,0.0425,0.08821428571428572,0,1,29.321428571428573,0.2202046999727976,29.41,-0.08857142857142719,2,0,7.435714285714288,3.0975442240233177,7.7,-0.26428571428571246,0,1,17.714285714285715,6.317601436628296,17.5,0.2142857142857153,1,1,8.957142857142857,2.504062633068444,8.7,0.257142857142858,0,1,0.21428571428571427
