,Longitude,Latitude,AddressAccuracy,NumMosquitos,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,most_recent_spray_(days),Recently_sprayed,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,weather_type_Norm,Day_of_month,month,year,Day_of_week,sprayed_2_yrs_ago,never_sprayed,WnvPresent
0,-87.705,41.883,8,2,0,1,0,0,0,0,3650,0,77,58,68,50,59,0,3,0.0,29.55,30.21,7.4,12,8.5,1,2,7,-1,0,0,1,0
1,-87.705,41.883,8,1,0,0,1,0,0,0,3650,0,77,58,68,50,59,0,3,0.0,29.55,30.21,7.4,12,8.5,1,2,7,-1,0,0,1,0
2,-87.705,41.883,8,1,0,1,0,0,0,0,3650,0,85,69,77,69,71,0,12,0.92,29.18,29.83,10.3,24,10.6,0,18,7,-1,2,0,1,0
3,-87.705,41.883,8,1,0,0,1,0,0,0,3650,0,85,69,77,69,71,0,12,0.92,29.18,29.83,10.3,24,10.6,0,18,7,-1,2,0,1,0
4,-87.705,41.883,8,1,0,0,1,0,0,0,3650,0,85,69,77,69,71,0,12,0.92,29.18,29.83,10.3,24,10.6,0,18,7,-1,2,0,1,0
5,-87.705,41.883,8,1,0,1,0,0,0,0,3650,0,91,69,80,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,1,1,8,-1,2,0,1,0
6,-87.705,41.883,8,1,0,0,1,0,0,0,3650,0,91,69,80,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,1,1,8,-1,2,0,1,0
7,-87.705,41.883,8,1,1,0,0,0,0,0,3650,0,91,69,80,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,1,1,8,-1,2,0,1,0
8,-87.705,41.883,8,3,0,1,0,0,0,0,3650,0,81,72,77,69,71,0,12,0.83,29.23,29.87,4.9,6,7.1,0,15,8,-1,2,0,1,0
9,-87.705,41.883,8,1,1,0,0,0,0,0,3650,0,85,69,77,70,72,0,12,0.01,29.26,29.89,3.5,17,6.0,0,21,8,-1,1,0,1,0
10,-87.705,41.883,8,1,0,1,0,0,0,0,3650,0,90,67,79,59,67,0,14,0.0,29.34,29.99,2.2,24,5.0,1,4,9,-1,1,0,1,0
11,-87.705,41.883,8,1,1,0,0,0,0,0,3650,0,90,67,79,59,67,0,14,0.0,29.34,29.99,2.2,24,5.0,1,4,9,-1,1,0,1,0
12,-87.705,41.883,8,19,0,1,0,0,0,0,3650,0,89,66,78,57,65,0,13,0.0,29.41,30.05,12.5,19,12.8,1,18,9,-1,1,0,1,0
13,-87.705,41.883,8,1,1,0,0,0,0,0,3650,0,89,66,78,57,65,0,13,0.0,29.41,30.05,12.5,19,12.8,1,18,9,-1,1,0,1,0
14,-87.705,41.883,8,1,1,0,0,0,0,0,3650,0,83,56,70,56,62,0,5,0.0,29.39,30.03,4.6,17,5.9,1,4,10,-1,3,0,1,0
15,-87.694,41.919,8,1,0,1,0,0,0,0,3650,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,29,5,-1,1,0,1,0
16,-87.694,41.919,8,1,0,1,0,0,0,0,3650,0,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,0,5,6,-1,1,0,1,0
17,-87.694,41.919,8,1,0,0,1,0,0,0,3650,0,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,0,5,6,-1,1,0,1,0
18,-87.694,41.919,8,1,0,0,1,0,0,0,3650,0,91,73,82,69,72,0,17,0.005,29.45,30.09,7.3,21,8.1,0,26,6,-1,1,0,1,0
19,-87.694,41.919,8,1,0,1,0,0,0,0,3650,0,85,69,77,69,71,0,12,0.92,29.18,29.83,10.3,24,10.6,0,18,7,-1,2,0,1,0
20,-87.694,41.919,8,4,0,1,0,0,0,0,3650,0,91,69,80,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,1,1,8,-1,2,0,1,0
21,-87.694,41.919,8,1,0,1,0,0,0,0,3650,0,91,69,80,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,1,1,8,-1,2,0,1,0
22,-87.694,41.919,8,1,1,0,0,0,0,0,3650,0,91,69,80,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,1,1,8,-1,2,0,1,0
23,-87.694,41.919,8,1,0,1,0,0,0,0,3650,0,92,73,83,73,76,0,18,0.06,29.11,29.74,6.3,24,8.8,0,7,8,-1,1,0,1,0
24,-87.694,41.919,8,1,1,0,0,0,0,0,3650,0,92,73,83,73,76,0,18,0.06,29.11,29.74,6.3,24,8.8,0,7,8,-1,1,0,1,0
25,-87.694,41.919,8,3,0,1,0,0,0,0,3650,0,81,72,77,69,71,0,12,0.83,29.23,29.87,4.9,6,7.1,0,15,8,-1,2,0,1,0
26,-87.694,41.919,8,2,1,0,0,0,0,0,3650,0,81,72,77,69,71,0,12,0.83,29.23,29.87,4.9,6,7.1,0,15,8,-1,2,0,1,0
27,-87.694,41.919,8,38,0,1,0,0,0,0,3650,0,85,69,77,70,72,0,12,0.01,29.26,29.89,3.5,17,6.0,0,21,8,-1,1,0,1,0
